직업,2015_신규구인,2015_신규구직,2015_취업건수,2015_취업률,2016_신규구인,2016_신규구직,2016_취업건수,2016_취업률,2017_신규구인,2017_신규구직,2017_취업건수,2017_취업률,2018_신규구인,2018_신규구직,2018_취업건수,2018_취업률,2019_신규구인,2019_신규구직,2019_취업건수,2019_취업률
계,1669708,2996521,897224,29.9,1737393,2779343,828498,29.8,1747465,2670264,724357,27.1,1562202,2690900,691587,25.7,1351945,2787425,699282,25.1
관리직,15523,185641,56985,30.7,24890,152703,43951,28.8,27641,158724,39079,24.6,8705,101487,25197,24.8,7228,84886,19270,22.7
경영회계사무,253968,736483,215276,29.2,255419,712494,202164,28.4,238414,709942,176511,24.9,222540,745405,174126,23.4,189211,756724,174586,23.1
금융보험,4565,25908,6459,24.9,4240,23426,5583,23.8,3753,24663,4743,19.2,4053,23038,4553,19.8,3176,21559,4281,19.9
교육과학연구,14796,90953,23109,25.4,15203,81524,19845,24.3,13371,80843,17424,21.6,12932,69875,14601,20.9,12449,70456,13431,19.1
법률소방교도,2283,11831,3391,28.7,2020,11406,3172,27.8,1836,11552,2792,24.2,1886,12385,2814,22.7,1650,12293,2737,22.3
보건의료,63063,173710,50541,29.1,70195,170375,50478,29.6,78154,179125,48999,27.4,82597,192841,52736,27.3,94778,214148,61376,28.7
사회복지및종교,27248,101377,30196,29.8,32099,98793,28725,29.1,34395,107184,28166,26.3,38376,131817,31340,23.8,46980,149484,35779,23.9
문화방송예술,49190,152219,40329,26.5,46843,136109,36392,26.7,45630,132485,30045,22.7,37711,130048,27683,21.3,31915,128163,26447,20.6
운전및운송,77368,120746,47185,39.1,86666,113987,44740,39.3,97164,103471,38534,37.2,93616,106721,35402,33.2,74741,118646,37667,31.7
영업원및판매,86268,114866,30843,26.9,86527,111568,29601,26.5,75371,99756,24784,24.8,67437,116022,25446,21.9,55650,125534,24771,19.7
경비및청소,53245,179344,55393,30.9,61477,168374,52501,31.2,63654,147996,46543,31.4,56210,129160,40516,31.4,52488,139213,41544,29.8
미용숙박오락,13615,84636,15582,18.4,14944,75346,14765,19.6,12495,70373,12954,18.4,12981,66949,12724,19,11366,67410,11910,17.7
음식서비스,58286,162793,33471,20.6,61086,149490,32700,21.9,62566,131229,27727,21.1,53627,121291,24462,20.2,53305,130215,25557,19.6
건설관련직,124290,175246,55794,31.8,128995,144856,45742,31.6,120597,125574,36116,28.8,111945,133653,36336,27.2,101646,141391,37310,26.4
기계관리직,178469,143206,55496,38.8,174857,139645,53347,38.2,186248,131332,45429,34.6,164856,136599,42473,31.1,127004,136359,40898,30
재료관련직,130940,50559,18912,37.4,115792,50610,19521,38.6,109740,47031,15946,33.9,105071,45990,14819,32.2,87861,43607,13595,31.2
화학관련직,62117,21116,8443,40,67595,20483,8450,41.3,66452,21479,8000,37.2,55142,24190,8119,33.6,42099,24665,7593,30.8
섬유및의복,21567,23492,5200,22.1,23684,18582,4332,23.3,21614,15077,3171,21,15968,13045,2687,20.6,11362,12553,2418,19.3
전기전자,97723,155722,56428,36.2,99352,143081,51152,35.8,106832,136552,45976,33.7,86694,152744,46273,30.3,68718,157923,46573,29.5
정보통신,20441,80909,25243,31.2,18644,69787,21378,30.6,18595,69131,18864,27.3,17104,67070,16667,24.9,16355,61698,15682,25.4
식품가공,37508,30453,8186,26.9,40175,28891,8656,30,40887,29614,8515,28.8,33205,28503,7858,27.6,24047,29792,7415,24.9
생산단순직,219447,152982,45880,30,243337,138619,43011,31,261891,121310,37585,31,234664,125900,38608,30.7,191823,143443,41828,29.2
농림어업,57674,21878,8807,40.3,63236,18747,8201,43.7,60150,15410,6391,41.5,44869,15487,6069,39.2,46086,16488,6512,39.5
군인,114,451,75,16.6,117,447,91,20.4,15,411,63,15.3,12,539,69,12.8,6,584,77,13.2
분류불능,0,0,0,0,0,0,0,0,0,0,0,0,1,141,9,6.4,1,191,25,13.1
